mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_scale_pos_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
1.8884164810180664,1.9883730495713452,0.0592606782913208,0.018650518824728256,0.6,0.0,0.01,3,1,100,1,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.6}",0.695906432748538,0.7660818713450293,0.7358674463937622,0.750487329434698,0.7563352826510722,0.8323586744639376,0.804093567251462,0.8021442495126706,0.776803118908382,0.7884990253411306,0.7708576998050682,0.037017667039080104,699
1.476576566696167,1.5097862708379581,0.05101237297058105,0.022121400003897545,0.6,0.0,0.01,3,1,100,1,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.8}",0.6871345029239766,0.760233918128655,0.7309941520467836,0.7621832358674465,0.7378167641325536,0.8333333333333333,0.8128654970760234,0.7826510721247563,0.7680311890838207,0.783625730994152,0.7658869395711501,0.039508684216199554,946
1.6438021898269652,1.4100698735013457,0.05469808578491211,0.020368160504297243,0.6,0.0,0.01,3,1,100,1,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 1.0}",0.6929824561403508,0.7504873294346979,0.709551656920078,0.7436647173489279,0.7309941520467836,0.8026315789473684,0.8235867446393762,0.7807017543859649,0.7651072124756335,0.7997076023391814,0.7599415204678361,0.04015854757934575,1236
2.9465204954147337,5.864292303564278,0.04746088981628418,0.017847839264410022,0.6,0.0,0.01,3,1,100,10,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 0.6}",0.7202729044834308,0.7709551656920078,0.7319688109161793,0.7709551656920078,0.7962962962962963,0.8440545808966862,0.8382066276803118,0.8157894736842105,0.7797270955165692,0.7816764132553606,0.784990253411306,0.038508770696391394,55
0.7245259523391724,0.6631915503094631,0.062435483932495116,0.020518489809313197,0.6,0.0,0.01,3,1,100,10,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 0.8}",0.7085769980506822,0.7768031189083822,0.7456140350877193,0.7787524366471735,0.7943469785575048,0.8489278752436648,0.8440545808966861,0.8109161793372319,0.7738791423001949,0.7807017543859649,0.7862573099415204,0.03994686670139323,43
3.1557192325592043,4.144317024964816,0.052856850624084475,0.02296328697102846,0.6,0.0,0.01,3,1,100,10,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 1.0}",0.7212475633528266,0.780214424951267,0.7592592592592593,0.7612085769980507,0.7724171539961013,0.8138401559454191,0.8533138401559454,0.7855750487329435,0.7612085769980507,0.7655945419103314,0.7773879142300195,0.033669350469205724,303
12.064408230781556,15.378020662711112,0.07012183666229248,0.017849234282778285,0.6,0.0,0.01,3,1,300,1,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 300, 'scale_pos_weight': 1, 'subsample': 0.6}",0.682261208576998,0.7855750487329435,0.7105263157894738,0.7387914230019492,0.746588693957115,0.810916179337232,0.8206627680311891,0.8304093567251463,0.7612085769980507,0.7855750487329435,0.7672514619883042,0.045972087326281885,878
8.72241907119751,12.857109809804818,0.05161106586456299,0.023343062789026477,0.6,0.0,0.01,3,1,300,1,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 300, 'scale_pos_weight': 1, 'subsample': 0.8}",0.6851851851851852,0.7865497076023391,0.7339181286549707,0.7407407407407407,0.7348927875243665,0.8118908382066277,0.8313840155945419,0.8196881091617934,0.753411306042885,0.7846003898635477,0.7682261208576999,0.0439392822668486,850
1.2436206817626954,0.5598348600588257,0.05158290863037109,0.019566438563894194,0.6,0.0,0.01,3,1,300,1,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 300, 'scale_pos_weight': 1, 'subsample': 1.0}",0.6861598440545809,0.7884990253411306,0.7348927875243665,0.736842105263158,0.723196881091618,0.7923976608187134,0.8391812865497076,0.8089668615984406,0.7514619883040936,0.8235867446393762,0.7685185185185186,0.046790224518379234,839
3.9317562341690064,6.07444044193128,0.058551597595214847,0.02188041658386043,0.6,0.0,0.01,3,1,300,10,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 300, 'scale_pos_weight': 10, 'subsample': 0.6}",0.7212475633528265,0.780701754385965,0.7173489278752436,0.7631578947368421,0.7855750487329435,0.827485380116959,0.8255360623781677,0.850877192982456,0.7807017543859649,0.7914230019493178,0.7844054580896687,0.04120813438805089,67
